parishName;parishPriest;address;city;phone;email;zoneName
Jesús de la Divina Misericordia;Pbro. Carlos Devera;Las Amazonas;Puerto Ordaz;;;Benedicto XVI
Santísima Trinidad;Pbro. Gustavo Suarez;Unare I;Puerto Ordaz;0286-512174;;Benedicto XVI
San Onofre;Pbro. Miguel Ángel García;Rio Negro;Puerto Ordaz;;;Benedicto XVI
San Pedro y San Pablo;Pbro. Luis Gaytán;El Guamo;Puerto Ordaz;;;Benedicto XVI
Nuestra Señora de la Salud;Pbro. Carlos Devera;Paratepuy;Puerto Ordaz;;;Benedicto XVI
Sagrada Familia;Pbro. Tomás Runque;Unare;Puerto Ordaz;0286-9513559;;Benedicto XVI
Corpus Christi;Pbro. Cesar Coa;Core 8;Puerto Ordaz;0286-3162160;;Benedicto XVI
Santa Teresa de Jesús;Pbro. Miles Useche;Alta Vista Sur;Puerto Ordaz;0286-9625143;;San Juan Pablo II
Nuestra Señora de Guadalupe;Pbro. José Jesús Salcedo;Villa Asia;Puerto Ordaz;0286-9612438;;San Juan Pablo II
San Juan Pablo II;Pbro. Gerardo Moreno;Alta Vista;Puerto Ordaz;;;San Juan Pablo II
Nuestra Señora del Valle;Pbro. Antonio Fuentes;Villa Colombia;Puerto Ordaz;0286-9230318;;San Juan Pablo II
Nuestra Señora de Coromoto;Pbro. José Gregorio Salazar;Los Olivos;Puerto Ordaz;0286-9617002;;San Juan Pablo II
San Charbel;Pbro. Imad Abdul Sater;Villa Granada;Puerto Ordaz;;;San Juan Pablo II
Nuestra Señora de Fátima;Pbro. José Manuel Díaz;Centro Cívico;Puerto Ordaz;0286-227139;;San Juan Pablo II
Jesús Nazareno;Pbro. Leandro Campos;Villa Brasil;Puerto Ordaz;0286-9232785;;San Juan Pablo II
Santuario Diocesano Inmaculada Concepción;Pbro. Frank Márquez;Centro de San Félix;San Félix;0286-9741923;;Francisco Alfaráz
San Juan Bosco;Pbro. Víctor Mendoza;UD 145;San Félix;0286-9311950;;Francisco Alfaráz
Buen Pastor;Pbro. Jormel Zabala;Las Batallas;San Félix;0286-9711238;;Francisco Alfaráz
La Santa Cruz;Diácono: Alix José Brito;La Unidad;San Félix;0286-9740624;;Francisco Alfaráz
San Francisco de Asís;Pbro. Abraham Sánchez;Los Alacranes;San Félix;0286-5110548;;Francisco Alfaráz
San Buenaventura;Pbro. Jorge Carreño;El Roble;San Félix;0286-9311636;;Francisco Alfaráz
Jesucristo Resucitado;Pbro. Gregory Schaffer;Guaiparo;San Félix;0286-9316290;;Francisco Alfaráz
Santa María Reina del Orinoco;Pbro. Pedro Guerrero;SF;San Félix;;;Monseñor Romero
San Martín de Porres;Pbro. Carlos Ruíz;Brisas del Sur;San Félix;0286-5117421;;Monseñor Romero
San Judas Tadeo;Pbro. Saúl Briceño;Chirica Vieja;San Félix;0286-4177647;;Monseñor Romero
San Antonio María Claret;Pbro. Ronald Ramírez;1° de Mayo;San Félix;0286-9342573;;Monseñor Romero
Nuestra Señora del Carmen;Pbro. Efraín Corona;Vista al Sol;San Félix;0286-9345519;;Monseñor Romero
Cristo Rey;Pbro. Pedro Guerrero;Bella Vista;San Félix;;;Monseñor Romero
Sagrado Corazón de Jesús;Pbro. José Antonio Brito;Los Culíes;vía Upata;;;Monseñor Romero
Santa Teresa De Ávila;Pbro. José Gregorio Guzmán;El Manteco;El Manteco;;;María Reina de los Apóstoles
San Antonio de Padua;Pbro. Tadeusz Popiolek SAC;Upata;Upata;0288-2211209;;María Reina de los Apóstoles
San Vicente de Pallotti;Pbro. Przemyslaw Norman Brodowski SAC;Upata;Upata;;;María Reina de los Apóstoles
San Miguel Arcángel;Pbro. Luis Böll;El Palmar;El Palmar;0288-8111109;;María Reina de los Apóstoles
Inmaculada Concepción;Pbro. Saúl Briceño;El Pao ;km 17 vía al Pao;0286-5148001;;Monseñor Romero
San Francisco de Asís;Pbro. Przemyslaw Norman Brodowski SAC;Upata;Upata;;;María Reina de los Apóstoles
San José Obrero;Pbro. Christhian González;El Pao;El Pao;0288-2243072;;Monseñor Romero
Nuestra Señora de Coromoto;Pbro. Danny Tenía;Indígena;Indígena;;;Ricardo Benedetti
Nuestra Señora del Carmen;Pbro. Giannino Prandelli;El Callao;El Callao;0288-8083718;;Ricardo Benedetti
Nuestra Señora del Belén;Pbro. Giannino Prandelli;Tumeremo;Tumeremo;0288-7710779;;Ricardo Benedetti
San José;Pbro. Danny Tenía;Las Claritas;Las Claritas;;;Ricardo Benedetti
Nuestra Señora de Monserrat;Pbro. Humberto Merchán;El Miamo;El Miamo;0288-7671352;;Ricardo Benedetti
Nuestra Señora de Lourdes;Pbro. Lisandro Urbina;El Dorado;El Dorado;0288-4991776;;Ricardo Benedetti
Nuestra Señora del Rosario;Pbro. Humberto Merchán;Guasipati;Guasipati;0288-7671352;;Ricardo Benedetti
